week_start,week_end,region,segment,stage,pipeline_usd,opportunity_count
2026-07-27,2026-08-02,North America,Enterprise,Discovery,1800000,8
2026-07-27,2026-08-02,North America,Enterprise,Proposal,2700000,6
2026-07-27,2026-08-02,North America,Enterprise,Commit,4300000,4
2026-07-27,2026-08-02,North America,Enterprise,Closed Won,2000000,3
2026-08-03,2026-08-09,North America,Enterprise,Discovery,1650000,7
2026-08-03,2026-08-09,North America,Enterprise,Proposal,3100000,7
2026-08-03,2026-08-09,North America,Enterprise,Commit,4550000,5
2026-08-03,2026-08-09,North America,Enterprise,Closed Won,1940000,3
2026-07-27,2026-08-02,EMEA,Enterprise,Discovery,720000,3
2026-07-27,2026-08-02,EMEA,Enterprise,Proposal,1180000,3
2026-07-27,2026-08-02,EMEA,Enterprise,Commit,1660000,2
2026-07-27,2026-08-02,EMEA,Enterprise,Closed Won,800000,1
2026-07-27,2026-08-02,APAC,Enterprise,Discovery,940000,4
2026-07-27,2026-08-02,APAC,Enterprise,Proposal,1510000,4
2026-07-27,2026-08-02,APAC,Enterprise,Commit,2200000,3
2026-07-27,2026-08-02,APAC,Enterprise,Closed Won,1100000,2
