week_start,week_end,region,segment,active_accounts,pipeline_usd,renewal_risk_usd,product_active_users,support_sla_pct,open_escalations,nps
2026-07-13,2026-07-19,North America,Enterprise,5,9600000,1100000,18420,96.1,4,47
2026-07-20,2026-07-26,North America,Enterprise,5,10150000,980000,19080,95.4,5,45
2026-07-27,2026-08-02,North America,Enterprise,5,10800000,1250000,19870,94.2,6,42
2026-08-03,2026-08-09,North America,Enterprise,5,11240000,890000,20750,96.7,3,49
2026-07-13,2026-07-19,North America,Commercial,2,1850000,220000,4210,97.8,1,51
2026-07-20,2026-07-26,North America,Commercial,2,1980000,260000,4360,96.9,2,48
2026-07-27,2026-08-02,North America,Commercial,2,2120000,310000,4475,96.3,2,46
2026-08-03,2026-08-09,North America,Commercial,2,2250000,180000,4610,98.1,1,53
2026-07-13,2026-07-19,EMEA,Enterprise,1,4100000,540000,7120,95.8,2,44
2026-07-20,2026-07-26,EMEA,Enterprise,1,4280000,610000,7250,94.6,3,41
2026-07-27,2026-08-02,EMEA,Enterprise,1,4360000,680000,7390,93.9,4,39
2026-08-03,2026-08-09,EMEA,Enterprise,1,4500000,520000,7580,95.2,2,43
2026-07-13,2026-07-19,APAC,Enterprise,2,5200000,740000,8810,96.4,3,46
2026-07-20,2026-07-26,APAC,Enterprise,2,5480000,710000,9025,95.9,3,45
2026-07-27,2026-08-02,APAC,Enterprise,2,5750000,830000,9230,95.1,4,43
2026-08-03,2026-08-09,APAC,Enterprise,2,5900000,650000,9460,96.0,2,47
